anchor_id,doc_kind,doc_ref,code_file,span,symbol,content_hash,status,added
A-fa22c575,learning,feat-id-format-type-hash-slug,scripts/search.py,SYM:generate_feat_id,generate_feat_id,1fc3945f90b75f7f,fresh,2026-06-14
A-94ec2ae5,component,scripts/search.py#BM25,scripts/search.py,SYM:BM25,BM25,f4275e63ede91db1,fresh,2026-06-14
